	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	BALBC	C57Bl6
chr2_153915355_153915555	chr2	153915355	153915555	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-2775.0	NM_194357	378700.0	Mm.55392	NM_194357	ENSMUSG00000068008	Bpifb3	Lplunc3|Rya3	BPI fold containing family B, member 3	protein-coding	64.67	3.86
chr1_60973885_60974085	chr1	60973885	60974085	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	(AGGGGG)n|Simple_repeat|Simple_repeat	-3929.0	NM_017480	54167.0	Mm.42044	NM_017480	ENSMUSG00000026009	Icos	AILIM|CCLP|CRP-1|H4|Ly115	inducible T cell co-stimulator	protein-coding	43.78	7.4700000000000015
chr5_115575047_115575247	chr5	115575047	115575247	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_172719, intron 3 of 57)	intron (NM_172719, intron 3 of 57)	-5802.0	NR_105996	102466790.0		NR_105996	ENSMUSG00000099047	Mir7029	Gm27293|mmu-mir-7029	microRNA 7029	ncRNA	20.825000000000006	5.7799999999999985
chr4_86934086_86934290	chr4	86934088	86934288	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	MLT2C2|LTR|ERVL	59774.0	NM_001290541	230379.0	Mm.45019	NM_139306	ENSMUSG00000038007	Acer2	2410116I05Rik|Asah3l|CRG-L1|maCER2	alkaline ceramidase 2	protein-coding	94.87	32.85
chr8_91369784_91369984	chr8	91369784	91369984	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_011936, intron 1 of 8)	(TTCTC)n|Simple_repeat|Simple_repeat	56359.0	NM_011936	26383.0	Mm.4375	NM_011936	ENSMUSG00000055932	Fto	AW743446|mKIAA1752	fat mass and obesity associated	protein-coding	22.85	10.7
chr2_122070127_122070327	chr2	122070127	122070327	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_145531, intron 26 of 39)	intron (NM_145531, intron 26 of 39)	41644.0	NM_001256055	100042807.0	Mm.329403	NM_001256055	ENSMUSG00000043424	Eif3j2	ENSMUSG00000043424|Eif3j-2|Gm9781|eIF3 p35|eIF3j-B	eukaryotic translation initiation factor 3, subunit J2	protein-coding	24.865	8.385
chr12_26068313_26068513	chr12	26068313	26068513	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	142092.0	NR_131149	629481.0	Mm.390460	NR_131149		Gm29687	-	predicted gene, 29687	ncRNA	14.195	5.855
chr3_96499412_96499613	chr3	96499412	96499612	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	tRNA-Lys-AAG|tRNA|tRNA	-25673.0	NM_027126	69585.0	Mm.171314	NM_027126	ENSMUSG00000038403	Hfe2	2310035L15Rik|5230400G09Rik|AI414844|AI789733|DL-M|HJV|Rgmc|hemojuvelin	hemochromatosis type 2 (juvenile)	protein-coding	84.435	28.205
chr13_75822555_75822755	chr13	75822555	75822755	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-17231.0	NM_053108	93692.0	Mm.25844	NM_053108	ENSMUSG00000021591	Glrx	C86710|D13Wsu156e|Glrx1|Grx1|TTase	glutaredoxin	protein-coding	20.82	2.385
chr3_152355144_152355499	chr3	152355221	152355421	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001076676, intron 1 of 23)	CT-rich|Low_complexity|Low_complexity	8843.0	NM_133247	170822.0	Mm.258320	NM_133247	ENSMUSG00000025437	Usp33	9830169D19Rik|AA409780|Vdu1	ubiquitin specific peptidase 33	protein-coding	62.790000000000006	27.43
chr19_45267712_45267912	chr19	45267712	45267912	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-32576.0	NM_010691	16814.0	Mm.116815	NM_010691	ENSMUSG00000025216	Lbx1	Lbx1h	ladybird homeobox homolog 1 (Drosophila)	protein-coding	14.075	5.93
chr9_96355847_96356047	chr9	96355847	96356047	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_007502, intron 1 of 6)	L1ME2z|LINE|L1	8352.0	NM_007502	11933.0	Mm.424	NM_007502	ENSMUSG00000032412	Atp1b3	AA409958|AI664000|AW212096	ATPase, Na+/K+ transporting, beta 3 polypeptide	protein-coding	19.845	9.255
chr2_16299049_16299249	chr2	16299049	16299249	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	ORR1G|LTR|ERVL-MaLR	-57155.0	NM_026162	67448.0	Mm.313938	NM_026162	ENSMUSG00000026748	Plxdc2	1200007L24Rik|5430431D22Rik|AI646728|AU022916|AV231634|Tem7r	plexin domain containing 2	protein-coding	15.635000000000002	5.395
chr9_100237165_100237365	chr9	100237165	100237365	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	214965.0	NR_040763	108970.0	Mm.390215	NR_040763	ENSMUSG00000101584	4930519F24Rik	-	RIKEN cDNA 4930519F24 gene	ncRNA	20.015	2.005
chr17_24758169_24758369	chr17	24758169	24758369	+	1000.0	BALBC_PU1_notx_idr.tsv	exon (NM_001012402, exon 2 of 2)	exon (NM_001012402, exon 2 of 2)	5266.0	NM_001012402	328779.0	Mm.328848	NM_001012402	ENSMUSG00000039628	Hs3st6	3-OST-6	heparan sulfate (glucosamine) 3-O-sulfotransferase 6	protein-coding	102.56	8.56
chr15_67730947_67731147	chr15	67730947	67731147	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	504278.0	NR_045140	69334.0	Mm.63770	NR_045140	ENSMUSG00000102069	1700012I11Rik	-	RIKEN cDNA 1700012I11 gene	ncRNA	17.54	5.085
chr4_114378634_114378834	chr4	114378634	114378834	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-27990.0	NM_001085549	666048.0	Mm.331779	NM_001085549	ENSMUSG00000070867	Trabd2b	Gm12824|Hkat|OTTMUSG00000008561	TraB domain containing 2B	protein-coding	16.85	7.545
chr17_67213772_67213972	chr17	67213772	67213972	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_008984, intron 1 of 30)	intron (NM_008984, intron 1 of 30)	140587.0	NM_008984	19274.0	Mm.311809	NM_008984	ENSMUSG00000033278	Ptprm	RPTPmu|mKIAA4044	protein tyrosine phosphatase, receptor type, M	protein-coding	22.275	9.16
chr8_68171517_68171717	chr8	68171517	68171717	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	RMER19A|LTR|ERVK	-104911.0	NM_028182	72281.0	Mm.40974	NM_028182	ENSMUSG00000053886	Sh2d4a	2210402M20Rik|SH2A	SH2 domain containing 4A	protein-coding	20.89	1.31
chr11_88221975_88222175	chr11	88221975	88222175	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	17687.0	NM_001291272	64656.0	Mm.168680	NM_024174	ENSMUSG00000023723	Mrps23	D11Bwg1153e|MRP-S23|Rpms23|S23mt	mitochondrial ribosomal protein S23	protein-coding	207.625	0.925
chr13_76256476_76256676	chr13	76256476	76256676	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-128385.0	NM_030174	78771.0	Mm.316249	NM_030174	ENSMUSG00000021596	Mctp1	2810465F10Rik	multiple C2 domains, transmembrane 1	protein-coding	38.54	7.165
chr9_106572286_106572486	chr9	106572286	106572486	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-1419.0	NM_026090	67320.0	Mm.335431	NM_026090	ENSMUSG00000041009	Iqcf4	1700042N06Rik|mtIQ1	IQ motif containing F4	protein-coding	20.93	2.075
chr9_45086352_45086560	chr9	45086356	45086556	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001005421, intron 3 of 10)	intron (NM_001005421, intron 3 of 10)	7273.0	NM_001005421	270152.0	Mm.190461	NM_001005421	ENSMUSG00000048534	Amica1	AMICA|Crea7|Gm638|Jaml	adhesion molecule, interacts with CXADR antigen 1	protein-coding	320.31	100.94
chr17_36182515_36182715	chr17	36182515	36182715	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	3838.0	NR_033619	625785.0	Mm.390996	NR_033619		Gm6623	EG625785	akirin 1 pseudogene	pseudo	27.805	4.545
chr10_86463797_86463997	chr10	86463797	86463997	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001164495, intron 2 of 6)	intron (NM_001164495, intron 2 of 6)	34999.0	NM_013722	27204.0	Mm.394931	NM_013722	ENSMUSG00000059602	Syn3	-	synapsin III	protein-coding	23.075000000000006	8.01
chr15_90669594_90669794	chr15	90669594	90669794	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001033851, intron 1 of 3)	intron (NM_001033851, intron 1 of 3)	9694.0	NM_025815	66871.0	Mm.290991	NM_025815	ENSMUSG00000052560	Cpne8	1200003E11Rik|1500031E20Rik	copine VIII	protein-coding	97.765	11.95
chr5_147060060_147060260	chr5	147060060	147060260	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_080795, intron 1 of 9)	intron (NM_080795, intron 1 of 9)	16412.0	NM_080795	140887.0	Mm.272203	NM_080795	ENSMUSG00000016520	Lnx2	9630046H24|AW209022	ligand of numb-protein X 2	protein-coding	21.975	4.315
chr10_6417961_6418161	chr10	6417961	6418161	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	ERVB7_1-LTR_MM|LTR|ERVK	-340532.0	NM_001302796	18390.0	Mm.438000	NM_011013	ENSMUSG00000000766	Oprm1	M-OR-1|MOP-R|MOR-1|MOR-1O|Oprm|mor|muOR	opioid receptor, mu 1	protein-coding	30.38	1.77
chr14_76856574_76856774	chr14	76856574	76856774	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	179106.0	NR_015485	73272.0	Mm.116804	NR_015485	ENSMUSG00000101009	1700108F19Rik	1700020I02Rik|BB065030	RIKEN cDNA 1700108F19 gene	ncRNA	25.54	9.105
chr7_82330960_82331171	chr7	82330965	82331165	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	ORR1E-int|LTR|ERVL-MaLR	-4629.0	NM_001190374	269959.0	Mm.65306	NM_001190374	ENSMUSG00000070469	Adamtsl3	9230119C12Rik|C130057K09|mKIAA1233	ADAMTS-like 3	protein-coding	89.405	36.06
chr8_80963142_80963342	chr8	80963142	80963342	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	51664.0	NM_027554	74841.0	Mm.246018	NM_027554	ENSMUSG00000038250	Usp38	4631402N15Rik|4833420O05Rik|AA536967|AU044701|AW544820|mKIAA1891	ubiquitin specific peptidase 38	protein-coding	28.03	9.945
chr14_57527206_57527416	chr14	57527211	57527411	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_145837, intron 2 of 2)	ORR1F|LTR|ERVL-MaLR	2482.0	NM_145837	239114.0	Mm.390726	NM_145837	ENSMUSG00000050222	Il17d	AI462269|IL-17D	interleukin 17D	protein-coding	54.26	25.590000000000003
chr19_11647470_11647678	chr19	11647474	11647674	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001037634, intron 3 of 3)	intron (NM_001037634, intron 3 of 3)	-6723.0	NM_133246	170813.0	Mm.240438	NM_133246	ENSMUSG00000024681	Ms4a3	HTm4	membrane-spanning 4-domains, subfamily A, member 3	protein-coding	51.13	22.715
chr14_76507892_76508092	chr14	76507892	76508092	+	1000.0	BALBC_PU1_notx_idr.tsv	TTS (NM_207652)	TTS (NM_207652)	3482.0	NM_009366	21807.0	Mm.153272	NM_009366	ENSMUSG00000022010	Tsc22d1	AA589566|AW105905|Egr5|TSC-22|Tgfb1i4|Tsc|Tsc22	TSC22 domain family, member 1	protein-coding	50.63	4.0
chr13_103411949_103412149	chr13	103411949	103412149	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-77557.0	NM_175171	328329.0	Mm.202606	NM_175171	ENSMUSG00000034751	Mast4	4930420O11Rik|AI642422|mKIAA0303	microtubule associated serine/threonine kinase family member 4	protein-coding	46.295	4.38
chr9_120824321_120824521	chr9	120824321	120824521	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	90829.0	NR_040742	76402.0	Mm.436588	NR_040742	ENSMUSG00000100146	1700020M21Rik	-	RIKEN cDNA 1700020M21 gene	ncRNA	14.134999999999998	4.61
chr9_47707813_47708013	chr9	47707813	47708013	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001025600, intron 1 of 8)	intron (NM_001025600, intron 1 of 8)	110295.0	NR_046048	100038460.0	Mm.447649	NR_046048		Gm10677	ENSMUSG00000074363	predicted gene 10677	ncRNA	16.96	5.0
chr9_40954387_40954587	chr9	40954387	40954587	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001081121, intron 2 of 8)	intron (NM_001081121, intron 2 of 8)	9625.0	NM_001081121	70989.0	Mm.335087	NM_001081121	ENSMUSG00000032023	Jhy	4931429I11Rik|BB239335	juvenile hydrocephalus	protein-coding	73.1	2.9250000000000003
chr18_73808753_73808953	chr18	73808753	73808953	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_145494, intron 1 of 15)	intron (NM_145494, intron 1 of 15)	6539.0	NM_145494	107029.0	Mm.36817	NM_145494	ENSMUSG00000024556	Me2	AW120568|D030040L20Rik|NAD-ME	malic enzyme 2, NAD(+)-dependent, mitochondrial	protein-coding	42.44	8.705
chr4_76431034_76431234	chr4	76431034	76431234	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_011211, intron 10 of 39)	intron (NM_011211, intron 10 of 39)	-1152848.0	NM_025849	66928.0	Mm.24332	NM_025849	ENSMUSG00000028398	Tmem261	1700027K24Rik|3110001D03Rik	transmembrane protein 261	protein-coding	16.380000000000006	0.385
chr9_21807034_21807234	chr9	21807034	21807234	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_177030, intron 41 of 49)	RSINE1|SINE|B4	2866.0	NR_106051	102465657.0		NR_106051	ENSMUSG00000098473	Mir7083	Gm27888|mmu-mir-7083	microRNA 7083	ncRNA	19.73	6.709999999999999
chr13_19860188_19860388	chr13	19860188	19860388	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-36031.0	NM_181754	353346.0	Mm.239268	NM_181754	ENSMUSG00000053101	Gpr141	PGR13	G protein-coupled receptor 141	protein-coding	34.16	6.2349999999999985
chr18_9774632_9774832	chr18	9774632	9774832	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_130449, intron 2 of 9)	(GAA)n|Simple_repeat|Simple_repeat	67084.0	NM_130449	140792.0	Mm.218571	NM_130449	ENSMUSG00000036103	Colec12	CL-P1|SRCL|Scara4	collectin sub-family member 12	protein-coding	72.21000000000002	14.765
chr16_6842539_6842739	chr16	6842539	6842739	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_021477, intron 5 of 16)	intron (NM_021477, intron 5 of 16)	-227196.0	NM_183188	268859.0	Mm.370334	NM_021477	ENSMUSG00000008658	Rbfox1	A2bp|A2bp1|Hrnbp1|fox-1	RNA binding protein, fox-1 homolog (C. elegans) 1	protein-coding	30.815	6.709999999999999
chr12_101758768_101758968	chr12	101758768	101758968	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_011812, intron 9 of 10)	intron (NM_011812, intron 9 of 10)	-40345.0	NM_001082976	74413.0	Mm.275939	NM_028924	ENSMUSG00000021187	Tc2n	4933406D09Rik|Mtac2d1|Tac2-N	tandem C2 domains, nuclear	protein-coding	16.565	5.47
chr3_123797853_123798053	chr3	123797853	123798053	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-107101.0	NR_121616	83398.0	Mm.443908	NM_031186	ENSMUSG00000027977	Ndst3	4921531K01Rik|4930511P15Rik|N-HSST 3|NDST-3	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3	protein-coding	51.47	3.455
chr9_110839493_110839693	chr9	110839493	110839693	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_153172, intron 4 of 5)	intron (NM_153172, intron 4 of 5)	-4913.0	NM_183103	74306.0	Mm.87419	NM_183103	ENSMUSG00000049719	Prss46	1700112C13Rik|79H19B|Tessp6	protease, serine 46	protein-coding	15.920000000000002	7.324999999999998
chr13_19634210_19634410	chr13	19634210	19634410	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	11135.0	NM_016687	20379.0	Mm.42095	NM_016687	ENSMUSG00000021319	Sfrp4	-	secreted frizzled-related protein 4	protein-coding	18.745	4.2349999999999985
chr12_70078504_70078704	chr12	70078504	70078704	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001081453, intron 2 of 28)	ID_B1|SINE|B4	24250.0	NM_001081453	18080.0	Mm.244047	NM_008697	ENSMUSG00000021068	Nin	3110068G20Rik|AI385615|AU024711|mKIAA1565	ninein	protein-coding	18.18	6.85
chr1_195038070_195038270	chr1	195038070	195038270	+	1000.0	BALBC_PU1_notx_idr.tsv	TTS (NR_029745)	TTS (NR_029745)	623.0	NR_029745	387224.0		NR_029745	ENSMUSG00000065548	Mir29c	Mirn29c|mir-29c|mmu-mir-29c	microRNA 29c	ncRNA	21.28	10.005
chr2_128240985_128241185	chr2	128240985	128241185	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	113510.0	NM_001284410	12125.0	Mm.141083	NM_009754	ENSMUSG00000027381	Bcl2l11	1500006F24Rik|Bim|Bod|bcl2-L-11	BCL2-like 11 (apoptosis facilitator)	protein-coding	56.38500000000001	24.055
chr11_88291420_88291620	chr11	88291420	88291620	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-2523.0	NM_028859	74297.0	Mm.207320	NM_028859	ENSMUSG00000034031	Ccdc182	1700106J16Rik	coiled-coil domain containing 182	protein-coding	86.58000000000001	4.085
chr16_58017434_58017634	chr16	58017434	58017634	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-262797.0	NM_007739	12837.0	Mm.130388	NM_007739	ENSMUSG00000068196	Col8a1	Col8a-1	collagen, type VIII, alpha 1	protein-coding	232.82	2.77
chr10_18736866_18737066	chr10	18736866	18737066	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001033258, intron 1 of 33)	intron (NM_001033258, intron 1 of 33)	6792.0	NM_001033258	215821.0	Mm.40491	NM_001033258	ENSMUSG00000019852	Arfgef3	9630004D11|B930094H20Rik|BIG3|D10Bwg1379e|mKIAA1244	ARFGEF family member 3	protein-coding	30.99	14.079999999999998
chr8_109455263_109455463	chr8	109455263	109455463	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-38664.0	NM_019938	56523.0	Mm.42166	NM_019938	ENSMUSG00000031727	Pmfbp1	1700016D22Rik|F77|Stap	polyamine modulated factor 1 binding protein 1	protein-coding	32.555	13.305
chr15_90403701_90403901	chr15	90403701	90403901	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	179441.0	NR_106106	102466838.0		NR_106106	ENSMUSG00000099319	Mir7648	Gm27736|mmu-mir-7648	microRNA 7648	ncRNA	17.365	5.075
chr14_12535321_12535521	chr14	12535321	12535521	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_012061, intron 9 of 28)	intron (NM_012061, intron 9 of 28)	-189556.0	NM_080433	54713.0	Mm.34644	NM_080433	ENSMUSG00000021743	Fezf2	AI451466|AI852056|Fez|Fezl|Zfp312	Fez family zinc finger 2	protein-coding	25.45	7.16
chr12_107991012_107991212	chr12	107991012	107991212	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001079883, intron 1 of 3)	intron (NM_001079883, intron 1 of 3)	12302.0	NM_001079883	58208.0	Mm.392694	NM_021399	ENSMUSG00000048251	Bcl11b	9130430L19Rik|AI604821|B630002E05Rik|BCL-11B|Ctip2|Rit1	B cell leukemia/lymphoma 11B	protein-coding	17.715	8.16
chr9_111213464_111213664	chr9	111213464	111213664	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_027742, intron 8 of 13)	intron (NM_027742, intron 8 of 13)	58044.0	NM_001324522	17350.0	Mm.486383	NM_026810	ENSMUSG00000032498	Mlh1	1110035C23Rik|AI317206|AI325952|AI561766	mutL homolog 1	protein-coding	21.35	8.705
chr5_110421035_110421260	chr5	110421047	110421247	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001142642, intron 2 of 18)	intron (NM_001142642, intron 2 of 18)	27356.0	NM_001142642	381668.0	Mm.348782	NM_028596	ENSMUSG00000043323	Fbrsl1	2410025L10Rik|AI467568|Gm1049|Gm29766|mKIAA1545	fibrosin-like 1	protein-coding	171.63	78.47
chr6_147099391_147099604	chr6	147099397	147099597	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001081237, intron 1 of 2)	intron (NM_001081237, intron 1 of 2)	8422.0	NM_001081237	232539.0	Mm.491206	NM_001081237	ENSMUSG00000040102	Klhl42	A330079N23Rik|AI450355|C230080I20Rik|Ctb9|Klhdc5|mKIAA1340	kelch-like 42	protein-coding	74.025	28.6
chr3_90669143_90669343	chr3	90669143	90669343	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_013650, intron 1 of 2)	intron (NM_013650, intron 1 of 2)	172.0	NM_013650	20201.0	Mm.21567	NM_013650	ENSMUSG00000056054	S100a8	60B8Ag|AI323541|B8Ag|CFAg|CP-10|Caga|MRP8|p8	S100 calcium binding protein A8 (calgranulin A)	protein-coding	225.685	45.64
chr13_34229020_34229220	chr13	34229020	34229220	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001033167, intron 3 of 10)	intron (NM_001033167, intron 3 of 10)	66156.0	NM_001110515	69666.0	Mm.24788	NM_001101430	ENSMUSG00000071451	Psmg4	PAC-4|mPAC4	proteasome (prosome, macropain) assembly chaperone 4	protein-coding	28.72	13.65
chr8_39427365_39427565	chr8	39427365	39427565	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	129485.0	NR_044988	621335.0	Mm.208080	NR_044988	ENSMUSG00000109827	Gm6213	EG621335	predicted gene 6213	ncRNA	20.585	0.385
chr6_46204615_46204815	chr6	46204615	46204815	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001004357, intron 9 of 23)	intron (NM_001004357, intron 9 of 23)	-1039681.0	NM_025771	66797.0	Mm.440084	NM_025771	ENSMUSG00000039419	Cntnap2	5430425M22Rik|Caspr2|mKIAA0868	contactin associated protein-like 2	protein-coding	62.125	2.155
chr9_52183671_52183871	chr9	52183671	52183871	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-15660.0	NM_001162921	244871.0	Mm.295686	NM_001162921	ENSMUSG00000035164	Zc3h12c	A230108E06|C230027N18Rik|mKIAA1726	zinc finger CCCH type containing 12C	protein-coding	31.615	1.08
chr2_89173616_89173816	chr2	89173616	89173816	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-2471.0	NM_146891	258893.0	Mm.377737	NM_146891	ENSMUSG00000101918	Olfr1225	MOR233-11	olfactory receptor 1225	protein-coding	21.69	7.55
chr3_64996763_64996963	chr3	64996763	64996963	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-112505.0	NM_010597	16497.0	Mm.316402	NM_010597	ENSMUSG00000027827	Kcnab1	Akr8a8|Kvbeta1.1|mKv(beta)1	potassium voltage-gated channel, shaker-related subfamily, beta member 1	protein-coding	51.72	4.3100000000000005
chr16_29497003_29497203	chr16	29497003	29497203	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_172613, intron 1 of 29)	intron (NM_172613, intron 1 of 29)	44380.0	NM_172613	224079.0	Mm.54954	NM_172613	ENSMUSG00000038094	Atp13a4	4631413J11Rik|4832416L12|9330174J19Rik	ATPase type 13A4	protein-coding	22.22	8.395
chr17_35262846_35263054	chr17	35262850	35263050	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	promoter-TSS (NM_001267808)	promoter-TSS (NM_001267808)	-144.0	NM_010380	14964.0	Mm.439675	NM_010380	ENSMUSG00000073411	H2-D1	H-2D|H2-D	histocompatibility 2, D region locus 1	protein-coding	457.64	164.29000000000005
chr12_95467192_95467392	chr12	95467192	95467392	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-224934.0	NM_201518	399558.0	Mm.341948	NM_201518	ENSMUSG00000047414	Flrt2	-	fibronectin leucine rich transmembrane protein 2	protein-coding	15.87	2.695
chr12_70075040_70075240	chr12	70075040	70075240	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_001081453, intron 3 of 28)	intron (NM_001081453, intron 3 of 28)	27714.0	NM_001081453	18080.0	Mm.244047	NM_008697	ENSMUSG00000021068	Nin	3110068G20Rik|AI385615|AU024711|mKIAA1565	ninein	protein-coding	14.82	5.01
chr3_84074861_84075061	chr3	84074861	84075061	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-34800.0	NM_172681	229473.0	Mm.28838	NM_172681	ENSMUSG00000033767	D930015E06Rik	Kiaa0922|mKIAA0922	RIKEN cDNA D930015E06 gene	protein-coding	17.25	8.085
chr19_24719075_24719275	chr19	24719075	24719275	+	1000.0	BALBC_PU1_notx_idr.tsv	intron (NM_175013, intron 9 of 10)	intron (NM_175013, intron 9 of 10)	45167.0	NM_183160	226040.0	Mm.391170	NM_183160	ENSMUSG00000048572	Tmem252	E030010A14Rik	transmembrane protein 252	protein-coding	56.925	1.39
chr10_22743601_22743805	chr10	22743603	22743803	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-12256.0	NM_011603	237336.0	Mm.86670	NM_011603	ENSMUSG00000071359	Tbpl1	4732475G08|AW011832|AW491032|D18347|STD|TLF|TRF2|TRP|Tlp	TATA box binding protein-like 1	protein-coding	91.805	40.81
chr7_98428294_98428494	chr7	98428294	98428494	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	Intergenic	-12022.0	NM_001130693	14918.0	Mm.389928	NM_001034890	ENSMUSG00000074003	Gucy2d	-	guanylate cyclase 2d	protein-coding	18.51	8.09
chr1_127610407_127610609	chr1	127610408	127610608	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_028135, intron 2 of 7)	intron (NM_028135, intron 2 of 7)	67513.0	NM_028135	72160.0	Mm.281287	NM_028135	ENSMUSG00000026347	Tmem163	2610024A01Rik|SV31	transmembrane protein 163	protein-coding	90.49	26.17
chr17_27178217_27178417	chr17	27178217	27178417	+	1000.0	BALBC_PU1_notx_idr.tsv	Intergenic	RLTR20A2B_MM|LTR|ERVK	-10553.0	NM_173027	271424.0	Mm.209679	NM_173027	ENSMUSG00000024210	Ip6k3	D830007E07Rik|Ihpk3	inositol hexaphosphate kinase 3	protein-coding	15.345	3.08
