	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	BALBC	C57Bl6
chr11_76577953_76578153	chr11	76577953	76578153	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	promoter-TSS (NM_198894)	promoter-TSS (NM_198894)	-314.0	NM_198894	109934.0	Mm.258939	NM_198018	ENSMUSG00000017631	Abr	-	active BCR-related gene	protein-coding	15.235	32.195
chr14_76641880_76642080	chr14	76641880	76642080	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	MTC|LTR|ERVL-MaLR	-35588.0	NR_015485	73272.0	Mm.116804	NR_015485	ENSMUSG00000101009	1700108F19Rik	1700020I02Rik|BB065030	RIKEN cDNA 1700108F19 gene	ncRNA	14.2	29.735
chr10_25052127_25052327	chr10	25052127	25052327	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	ORR1D2|LTR|ERVL-MaLR	-124757.0	NM_007482	11846.0	Mm.154144	NM_007482	ENSMUSG00000019987	Arg1	AI|AI256583|Arg-1|PGIF	arginase, liver	protein-coding	0.0	20.185
chr18_39185757_39185965	chr18	39185761	39185961	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_175164, intron 11 of 22)	intron (NM_175164, intron 11 of 22)	192716.0	NM_175164	71302.0	Mm.329396	NM_175164	ENSMUSG00000036452	Arhgap26	1810044B20Rik|2610010G17Rik|4933432P15Rik|AI853435|mKIAA0621	Rho GTPase activating protein 26	protein-coding	48.185	104.775
chr9_105499512_105499712	chr9	105499512	105499712	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001253831, intron 1 of 26)	RLTR13B3|LTR|ERVK	-4479.0	NM_175025	235574.0	Mm.326247	NM_175025	ENSMUSG00000032570	Atp2c1	1700121J11Rik|ATP2C1A|AW061228|BCPM|D930003G21Rik|HHD|SPCA|pmr1	ATPase, Ca++-sequestering	protein-coding	0.0	23.8
chr12_17712051_17712251	chr12	17712051	17712251	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_016677, intron 1 of 3)	intron (NM_016677, intron 1 of 3)	21337.0	NM_016677	53602.0	Mm.313619	NM_016677	ENSMUSG00000071379	Hpcal1	NVP-3|Nvp3|VILIP3|Vnsl3|Vsnl3	hippocalcin-like 1	protein-coding	23.525	103.075
chr10_91037117_91037317	chr10	91037117	91037317	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_009684, intron 15 of 26)	intron (NM_009684, intron 15 of 26)	45526.0	NM_009684	11783.0	Mm.220289	NM_009684	ENSMUSG00000019979	Apaf1	6230400I06Rik|Apaf-1|Apaf1l|fog|mKIAA0413	apoptotic peptidase activating factor 1	protein-coding	0.345	31.925
chr3_101644280_101644480	chr3	101644280	101644480	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	RMER15|LTR|ERVL	-39673.0	NM_144900	11928.0	Mm.193670	NM_144900	ENSMUSG00000033161	Atp1a1	Atpa-1|BC010319	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein-coding	6.4049999999999985	46.44
chr15_62224281_62224491	chr15	62224286	62224486	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NR_132746, intron 3 of 6)	intron (NR_132746, intron 3 of 6)	-4935.0	NR_003523	67552.0	Mm.484027	NM_026230		H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo	42.505	90.56
chr17_31834104_31834304	chr17	31834104	31834304	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	21588.0	NM_010831	17691.0	Mm.290941	NM_010831	ENSMUSG00000024042	Sik1	Msk|Sik|Snf1lk	salt inducible kinase 1	protein-coding	1.21	14.1
chr13_37477737_37477937	chr13	37477737	37477937	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	132492.0	NM_010745	17084.0	Mm.2639	NM_010745	ENSMUSG00000021423	Ly86	MD-1|MD1|ly86_tv2	lymphocyte antigen 86	protein-coding	3.1100000000000003	20.345
chr4_124272102_124272302	chr4	124272102	124272302	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	213757.0	NR_040774	78460.0	Mm.452060	NR_040774		1700057H15Rik	-	RIKEN cDNA 1700057H15 gene	ncRNA	5.6549999999999985	28.965
chr1_192786302_192786509	chr1	192786305	192786505	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	MLT1B|LTR|ERVL-MaLR	-15186.0	NM_144881	226861.0	Mm.145857	NM_144881	ENSMUSG00000037375	Hhat	2810432O22Rik|AI462858|AP-2CRE|Skn|Tg(TFAP2A-cre)1Will	hedgehog acyltransferase	protein-coding	35.595	72.89
chr10_93316892_93317119	chr10	93316905	93317105	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-5846.0	NM_001322265	13713.0	Mm.4454	NM_013508	ENSMUSG00000008398	Elk3	D430049E23Rik|Erp|Etrp|Net|Sap-2	ELK3, member of ETS oncogene family	protein-coding	18.69	49.025
chr2_72221543_72221743	chr2	72221543	72221743	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001204165, intron 17 of 30)	intron (NM_001204165, intron 17 of 30)	-63994.0	NM_023057	65964.0	Mm.304143	NM_023057	ENSMUSG00000004085	Map3k20	AV006891|B230120H23Rik|MLTK|MLTKalpha|MLTKbeta|Zak	mitogen-activated protein kinase kinase kinase 20	protein-coding	3.065	46.35
chr17_35263589_35263789	chr17	35263589	35263789	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_010380, intron 2 of 7)	CpG-6316	566.0	NM_001267808	14980.0	Mm.439675	NM_001267808		H2-L	H-2L	histocompatibility 2, D region locus L	protein-coding	7.03	17.8
chr13_52114951_52115156	chr13	52114953	52115153	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NR_045061, intron 3 of 7)	ORR1E|LTR|ERVL-MaLR	18312.0	NR_045061	74050.0	Mm.84860	NR_045061		4921525O09Rik	-	RIKEN cDNA 4921525O09 gene	ncRNA	18.115	40.215
chr18_20793947_20794147	chr18	20793947	20794147	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	RLTR30D2_MM|LTR|ERV1	-47643.0	NM_019737	56386.0	Mm.393827	NM_019737	ENSMUSG00000056124	B4galt6	AA536803|AU022389	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	protein-coding	5.010000000000002	20.115
chr18_50076385_50076585	chr18	50076385	50076585	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_134131, intron 1 of 1)	intron (NM_134131, intron 1 of 1)	23203.0	NM_134131	106869.0	Mm.27740	NM_134131	ENSMUSG00000062210	Tnfaip8	AA987150|E130304C20Rik|ENSMUSG00000073567|Gg2-1|Gm10539|Nded|Ssc-2|Tipe	tumor necrosis factor, alpha-induced protein 8	protein-coding	6.575	16.255000000000006
chr4_141917756_141917956	chr4	141917756	141917956	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_177868, intron 22 of 31)	intron (NM_177868, intron 22 of 31)	-42936.0	NM_025994	27984.0	Mm.395598	NM_025994	ENSMUSG00000040659	Efhd2	2600015J22Rik|AA408606|D4Wsu27e	EF hand domain containing 2	protein-coding	1.04	20.115
chr3_82362503_82362703	chr3	82362503	82362703	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001081230, intron 3 of 13)	ORR1D2|LTR|ERVL-MaLR	4531.0	NM_001081230	213582.0	Mm.271269	NM_001081230	ENSMUSG00000033900	Map9	5033421J10Rik|5330427D05Rik|ASAP|Mtap9	microtubule-associated protein 9	protein-coding	2.6	22.655
chr3_132007316_132007516	chr3	132007316	132007516	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	L4_B_Mam|LINE|RTE-X	-77876.0	NM_020265	56811.0	Mm.103593	NM_020265	ENSMUSG00000028031	Dkk2	-	dickkopf WNT signaling pathway inhibitor 2	protein-coding	8.72	29.76
chr12_102352070_102352273	chr12	102352071	102352271	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_177620, intron 4 of 9)	intron (NM_177620, intron 4 of 9)	68530.0	NM_001161365	217835.0	Mm.24145	NM_177620	ENSMUSG00000044456	Rin3	6430500K07|C86933	Ras and Rab interactor 3	protein-coding	33.325	94.09
chr4_41774133_41774333	chr4	41774133	41774333	+	1000.0	C57Bl6_PU1_notx_idr.tsv	promoter-TSS (NM_001164045)	promoter-TSS (NM_001164045)	-57.0	NM_001164044	20301.0	Mm.335946	NM_011336	ENSMUSG00000073888	Ccl27a	ALP|AW558992|CTACK|CTAK|Ccl27|ESkine|ILC|PESKY|Scya27|Scya27a	chemokine (C-C motif) ligand 27A	protein-coding	0.345	16.02
chr4_145585035_145585258	chr4	145585046	145585246	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	promoter-TSS (NM_001324416)	promoter-TSS (NM_001324416)	-54.0	NM_001324416	433801.0	Mm.276881	NM_001013808	ENSMUSG00000078502	Gm13212	OTTMUSG00000010965	predicted gene 13212	protein-coding	15.635000000000002	37.965
chr17_15719291_15719491	chr17	15719291	15719491	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_007690, intron 2 of 35)	intron (NM_007690, intron 2 of 35)	14424.0	NM_007690	12648.0	Mm.8137	NM_007690	ENSMUSG00000023852	Chd1	4930525N21Rik|AI851787|AW555109	chromodomain helicase DNA binding protein 1	protein-coding	7.04	29.59
chr1_189701143_189701343	chr1	189701143	189701343	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	CT-rich|Low_complexity|Low_complexity	-13157.0	NM_001081363	108000.0	Mm.129746	NM_001081363	ENSMUSG00000026605	Cenpf	6530404A22Rik|AI325968|CENF|Lek1|PRO1779|mitosin	centromere protein F	protein-coding	4.38	18.095
chr19_57079660_57079860	chr19	57079660	57079860	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001103178, intron 3 of 19)	intron (NM_001103178, intron 3 of 19)	39264.0	NM_001347459	226251.0	Mm.217161	NM_178688	ENSMUSG00000025085	Ablim1	2210411C18Rik|2610209L21Rik|4833406P10Rik|9330196J19Rik|AV079770|AW060987|AW215784|Limab1|mKIAA0059	actin-binding LIM protein 1	protein-coding	8.71	51.68
chr8_71747239_71747452	chr8	71747245	71747445	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-21664.0	NR_028267	74015.0	Mm.22025	NM_028715	ENSMUSG00000070000	Fcho1	3322402E17Rik|N28152	FCH domain only 1	protein-coding	53.175	126.76
chr3_127320342_127320542	chr3	127320342	127320542	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001327938, intron 1 of 47)	intron (NM_001327938, intron 1 of 47)	88616.0	NM_001327939	109676.0	Mm.220242	NM_178655	ENSMUSG00000032826	Ank2	100043364|AI835472|AW491075|Ank-2|Gm4392	ankyrin 2, brain	protein-coding	0.985	27.755000000000006
chr6_135213090_135213327	chr6	135213108	135213308	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_028982, intron 3 of 12)	(TTC)n|Simple_repeat|Simple_repeat	15221.0	NM_028982	74525.0	Mm.34182	NM_028982	ENSMUSG00000030207	Fam234b	8430419L09Rik|Kiaa1467|mKIAA1467	family with sequence similarity 234, member B	protein-coding	26.13	61.52500000000001
chr9_48576848_48577078	chr9	48576863	48577063	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	B4|SINE|B4	28160.0	NM_001311062	18113.0	Mm.8362	NM_010924	ENSMUSG00000032271	Nnmt	-	nicotinamide N-methyltransferase	protein-coding	17.585	65.655
chr13_118537290_118537490	chr13	118537290	118537490	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Lx2A|LINE|L1	-18778.0	NR_045982	75890.0	Mm.141235	NR_045982	ENSMUSG00000100727	1700003P14Rik	1700030O10Rik|4930584L06Rik	RIKEN cDNA 1700003P14 gene	ncRNA	0.0	24.715
chr7_125593974_125594175	chr7	125593974	125594174	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-9355.0	NM_021887	60504.0	Mm.155643	NM_021887	ENSMUSG00000030745	Il21r	NILR	interleukin 21 receptor	protein-coding	68.025	170.34
chr7_122925189_122925389	chr7	122925189	122925389	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	MTD|LTR|ERVL-MaLR	45170.0	NR_045614	73951.0	Mm.389936	NR_045614		4930413G21Rik	-	RIKEN cDNA 4930413G21 gene	ncRNA	5.305	14.95
chr9_48661301_48661501	chr9	48661301	48661501	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001033324, intron 5 of 6)	intron (NM_001033324, intron 5 of 6)	-56278.0	NM_010924	18113.0	Mm.8362	NM_010924	ENSMUSG00000032271	Nnmt	-	nicotinamide N-methyltransferase	protein-coding	7.495	18.575
chr12_32501179_32501379	chr12	32501179	32501379	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	RodERV21-int|LTR|ERV1	122490.0	NM_001162903	72123.0	Mm.341352	NM_028111	ENSMUSG00000090946	Ccdc71l	2010109K11Rik|AV375874	coiled-coil domain containing 71 like	protein-coding	3.52	46.76
chr11_43191647_43191847	chr11	43191647	43191847	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_176999, intron 5 of 22)	GA-rich|Low_complexity|Low_complexity	41870.0	NM_176999	319767.0	Mm.252339	NM_176999	ENSMUSG00000055415	Atp10b	5930426O13Rik|9030605H24Rik	ATPase, class V, type 10B	protein-coding	0.92	50.85
chr18_25398748_25398948	chr18	25398748	25398948	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001033532, intron 8 of 10)	intron (NM_001033532, intron 8 of 10)	229828.0	NM_001033532	225289.0	Mm.391081	NM_001033532	ENSMUSG00000033632	AW554918	4921538P22|AI461742|Kiaa1328|mKIAA1328	expressed sequence AW554918	protein-coding	10.735	23.71
chr7_118488228_118488428	chr7	118488228	118488428	+	1000.0	C57Bl6_PU1_notx_idr.tsv	3' UTR (NM_001033380, exon 1 of 1)	3' UTR (NM_001033380, exon 1 of 1)	3647.0	NM_001033380	319622.0	Mm.323386	NM_001033380	ENSMUSG00000095115	Itpripl2	C130081G24|E030018N11Rik	inositol 1,4,5-triphosphate receptor interacting protein-like 2	protein-coding	5.135	15.41
chr14_46843104_46843304	chr14	46843104	46843304	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_026832, intron 2 of 5)	intron (NM_026832, intron 2 of 5)	10960.0	NM_026832	68755.0	Mm.343809	NM_026832	ENSMUSG00000055128	Cgrrf1	1110038G02Rik|1810009H17Rik|CGR19	cell growth regulator with ring finger domain 1	protein-coding	4.33	26.325000000000006
chr10_93095244_93095485	chr10	93095264	93095464	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-13768.0	NM_001347060	380654.0	Mm.34980	NM_001347060	ENSMUSG00000020014	Cfap54	4930485B16Rik|Gm872	cilia and flagella associated protein 54	protein-coding	27.340000000000003	74.465
chr4_136681984_136682184	chr4	136681984	136682184	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001290753, intron 6 of 15)	intron (NM_001290753, intron 6 of 15)	59463.0	NM_001243262	242707.0	Mm.448979	NM_001243262	ENSMUSG00000070683	Lactbl1	-	lactamase, beta-like 1	protein-coding	7.334999999999999	19.4
chr17_70958180_70958380	chr17	70958180	70958380	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	(TTCC)n|Simple_repeat|Simple_repeat	32236.0	NM_023402	67938.0	Mm.261329	NM_023402	ENSMUSG00000034868	Myl12b	1500001M02Rik|C77744|Mylc2b|RLC-B	myosin, light chain 12B, regulatory	protein-coding	4.0950000000000015	17.169999999999998
chr18_79565446_79565646	chr18	79565446	79565646	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	-456155.0	NM_053099	240427.0	Mm.312871	NM_053099	ENSMUSG00000024548	Setbp1	C130092E12|Seb|mKIAA0437	SET binding protein 1	protein-coding	8.775	104.005
chr13_76759235_76759443	chr13	76759239	76759439	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_030174, intron 7 of 20)	intron (NM_030174, intron 7 of 20)	374378.0	NM_030174	78771.0	Mm.316249	NM_030174	ENSMUSG00000021596	Mctp1	2810465F10Rik	multiple C2 domains, transmembrane 1	protein-coding	12.515	28.41
chr7_29237627_29237827	chr7	29237627	29237827	+	1000.0	C57Bl6_PU1_notx_idr.tsv	promoter-TSS (NM_001110201)	promoter-TSS (NM_001110201)	-596.0	NM_001110201	77254.0	Mm.36699	NM_029887	ENSMUSG00000030588	Yif1b	9430029K10Rik|Yip1b	Yip1 interacting factor homolog B (S. cerevisiae)	protein-coding	15.635000000000002	34.135
chr7_38183458_38183658	chr7	38183458	38183658	+	1000.0	C57Bl6_PU1_notx_idr.tsv	promoter-TSS (NM_028166)	promoter-TSS (NM_028166)	-229.0	NM_028166	72244.0	Mm.187554	NM_028166		1600014C10Rik	AI428873	RIKEN cDNA 1600014C10 gene	protein-coding	2.25	35.555
chr4_3744084_3744399	chr4	3744141	3744341	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_010747, intron 4 of 12)	intron (NM_010747, intron 4 of 12)	29277.0	NR_028126	70720.0	Mm.445696	NR_028126		6330407A03Rik	-	RIKEN cDNA 6330407A03 gene	ncRNA	45.225	101.525
chr7_3694620_3694820	chr7	3694620	3694820	+	1000.0	C57Bl6_PU1_notx_idr.tsv	exon (NM_001164205, exon 2 of 5)	exon (NM_001164205, exon 2 of 5)	212.0	NM_024168	66078.0	Mm.379100	NM_024168	ENSMUSG00000035585	Tsen34	0610027F08Rik|Leng5	tRNA splicing endonuclease subunit 34	protein-coding	6.5150000000000015	27.295
chr2_71698460_71698660	chr2	71698460	71698660	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NR_039557, intron 2 of 3).2	intron (NR_039557, intron 2 of 3).2	-20857.0	NR_037979	381371.0	Mm.330284	NM_201366	ENSMUSG00000064263	Platr26	Gm1631	pluripotency associated transcript 26	ncRNA	1.27	15.79
chr2_155022927_155023127	chr2	155022927	155023127	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_015770, intron 1 of 3)	ERVB4_1-I_MM-int|LTR|ERVK	9457.0	NM_015770	50518.0	Mm.315593	NM_015770	ENSMUSG00000027596	a	A<y>|ASIP|ASP|As	nonagouti	protein-coding	0.865	25.89
chr6_50340706_50340935	chr6	50340720	50340920	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001347213, intron 11 of 23)	MTC|LTR|ERVL-MaLR	42017.0	NM_027881	71720.0	Mm.44153	NM_027881	ENSMUSG00000029822	Osbpl3	1200014M06Rik|6720421I08Rik|A530055M08|ORP-3|ORP3|OSBP3	oxysterol binding protein-like 3	protein-coding	53.705	175.425
chr14_121992781_121992981	chr14	121992781	121992981	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_026861, intron 6 of 8)	RLTR51A_Mm|LTR|ERVK?	-27688.0	NM_183031	321019.0	Mm.265618	NM_183031	ENSMUSG00000051212	Gpr183	Ebi2	G protein-coupled receptor 183	protein-coding	8.245	80.68
chr11_71307211_71307411	chr11	71307211	71307411	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	RLTR45|LTR|ERVK	-22079.0	NR_027858	627984.0	Mm.390378	NM_001039234	ENSMUSG00000092528	Nlrp1c-ps	Nalp1c|Nlrp1c|OTTMUSG00000006090	NLR family, pyrin domain containing 1C, pseudogene	pseudo	0.29	40.515
chr1_172566288_172566565	chr1	172566326	172566526	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	ORR1F|LTR|ERVL-MaLR	6520.0	NR_027644	240916.0	Mm.71940	NM_177723	ENSMUSG00000049598	Vsig8	A030011M19|EG240916	V-set and immunoglobulin domain containing 8	protein-coding	31.79	143.77499999999995
chr16_45668973_45669173	chr16	45668973	45669173	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_172455, intron 11 of 17)	(CAG)n|Simple_repeat|Simple_repeat	-14955.0	NM_145389	212998.0	Mm.97511	NM_145389	ENSMUSG00000033187	BC016579	-	cDNA sequence, BC016579	protein-coding	6.165	21.725
chr5_11170232_11170432	chr5	11170232	11170432	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	IMPB_01|Satellite|Satellite	-12683.0	NM_001310021	545728.0	Mm.109461	NM_001310021	ENSMUSG00000095918	Gm5861	EG545728	predicted gene 5861	protein-coding	0.575	32.7
chr6_3345179_3345379	chr6	3345179	3345379	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	54292.0	NM_010156	209086.0	Mm.196013	NM_010156	ENSMUSG00000047735	Samd9l	AA175286|ESTM25|mKIAA2005	sterile alpha motif domain containing 9-like	protein-coding	0.0	20.18
chr3_103695504_103695704	chr3	103695504	103695704	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	CT-rich|Low_complexity|Low_complexity	42397.0	NM_133859	99543.0	Mm.211535	NM_133859	ENSMUSG00000027848	Olfml3	2810002E22Rik|AI115209|AW550633|HNOEL-iso|ONT3|mONT3	olfactomedin-like 3	protein-coding	4.105	19.78
chr3_87466980_87467180	chr3	87466980	87467180	+	1000.0	C57Bl6_PU1_notx_idr.tsv	3' UTR (NM_183222, exon 13 of 13)	3' UTR (NM_183222, exon 13 of 13)	31298.0	NM_001113238	329693.0	Mm.331122	NM_183222	ENSMUSG00000048031	Fcrl5	Fcrh3|mBXMH2	Fc receptor-like 5	protein-coding	3.52	38.365
chr10_3863323_3863536	chr10	3863329	3863529	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001159942, intron 2 of 16)	intron (NM_001159942, intron 2 of 16)	-9238.0	NM_001033253	213783.0	Mm.150831	NM_001033253	ENSMUSG00000040624	Plekhg1	D10Ertd733e|Gm521|mKIAA1209	pleckstrin homology domain containing, family G (with RhoGef domain) member 1	protein-coding	23.26	56.985
chr8_81787848_81788048	chr8	81787848	81788048	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001024617, intron 7 of 24)	MIRb|SINE|MIR	445386.0	NM_001297591	234515.0	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding	0.29	48.965
chr6_135183964_135184164	chr6	135183964	135184164	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	L1MC5|LINE|L1	-4416.0	NR_040296	100502888.0	Mm.437844	NR_040296	ENSMUSG00000108239	Gm19434	-	predicted gene, 19434	ncRNA	2.715	34.935
chr2_71594586_71594786	chr2	71594586	71594786	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NR_039557, intron 2 of 3).2	intron (NR_039557, intron 2 of 3).2	-47932.0	NM_010054	13392.0	Mm.3896	NM_010054	ENSMUSG00000023391	Dlx2	AW121999|Dlx-2|Tes-1	distal-less homeobox 2	protein-coding	4.96	35.065
chr1_52022264_52022493	chr1	52022278	52022478	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	intron (NM_001308266, intron 4 of 24)	intron (NM_001308266, intron 4 of 24)	14138.0	NM_011487	20849.0	Mm.1550	NM_011487	ENSMUSG00000062939	Stat4	-	signal transducer and activator of transcription 4	protein-coding	28.895	59.81999999999999
chr11_79484787_79484987	chr11	79484787	79484987	+	1000.0	C57Bl6_PU1_notx_idr.tsv	promoter-TSS (NR_045305)	promoter-TSS (NR_045305)	-856.0	NR_045305	104522.0	Mm.436987	NR_045305	ENSMUSG00000091523	AU040972	AU040954	expressed sequence AU040972	ncRNA	8.774999999999999	23.635
chr10_17788583_17788793	chr10	17788588	17788788	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	HAL1|LINE|L1	-7531.0	NM_138628	378431.0	Mm.283493	NM_138628	ENSMUSG00000039891	Txlnb	2310001N14Rik|Mdp77	taxilin beta	protein-coding	24.4	50.535
chr4_155833248_155833448	chr4	155833248	155833448	+	1000.0	C57Bl6_PU1_notx_idr.tsv	TTS (NM_025338)	TTS (NM_025338)	2079.0	NM_025338	66077.0	Mm.28999	NM_025338	ENSMUSG00000065990	Aurkaip1	0610033H09Rik|Aip|Akip|MRP-S38	aurora kinase A interacting protein 1	protein-coding	0.635	28.485
chr3_109747694_109747939	chr3	109747716	109747916	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	L3|LINE|CR1	173809.0	NM_146139	57257.0	Mm.282257	NM_020505	ENSMUSG00000033721	Vav3	A530094I06Rik|AA986410|Idd18.1	vav 3 oncogene	protein-coding	31.325	120.735
chr11_23076607_23076808	chr11	23076607	23076807	+	1000.0	BALBC_PU1_notx_idr.tsv|C57Bl6_PU1_notx_idr.tsv	Intergenic	C-rich|Low_complexity|Low_complexity	63320.0	NM_028672	73873.0	Mm.252406	NM_028672	ENSMUSG00000049811	Fam161a	4930430E16Rik	family with sequence similarity 161, member A	protein-coding	94.005	241.105
chr6_134556159_134556359	chr6	134556159	134556359	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_008514, intron 1 of 22)	MER92A|LTR|ERV1	10654.0	NM_008514	16974.0	Mm.321990	NM_008514	ENSMUSG00000030201	Lrp6	C030016K15Rik|Cd|Gw|ska26|ska<m26Jus>|skax26	low density lipoprotein receptor-related protein 6	protein-coding	0.985	53.48
chr14_66441903_66442103	chr14	66441903	66442103	+	1000.0	C57Bl6_PU1_notx_idr.tsv	Intergenic	Intergenic	97707.0	NM_019675	56471.0	Mm.35474	NM_019675	ENSMUSG00000022044	Stmn4	Lagl|R75359|RB3	stathmin-like 4	protein-coding	12.405	47.035
chr8_70821549_70821749	chr8	70821549	70821749	+	1000.0	C57Bl6_PU1_notx_idr.tsv	TTS (NM_008353)	TTS (NM_008353)	13200.0	NM_008353	16161.0	Mm.731	NM_008353	ENSMUSG00000000791	Il12rb1	CD212|IL-12R[b]	interleukin 12 receptor, beta 1	protein-coding	2.31	24.880000000000006
chr4_102987020_102987220	chr4	102987020	102987220	+	1000.0	C57Bl6_PU1_notx_idr.tsv	intron (NM_001163767, intron 1 of 4)	intron (NM_001163767, intron 1 of 4)	741.0	NM_001163767	67344.0	Mm.111346	NM_026100	ENSMUSG00000028523	Tctex1d1	1700055O19Rik	Tctex1 domain containing 1	protein-coding	5.015	20.28
